sale_date,whidx,skuidx,qty
03-03-2019,65245,3269615,3
03-03-2019,65261,3269615,1
03-03-2019,65265,3269615,1
03-03-2019,69100,3269615,1
03-03-2019,70401,3269615,1
04-03-2019,65245,3269615,3
04-03-2019,70360,3269615,1
04-03-2019,70401,3269615,2
07-03-2019,65245,3269615,3
07-03-2019,68500,3269615,2
07-03-2019,69100,3269615,6
07-03-2019,83539,3269615,3
08-03-2019,65261,3269615,1
08-03-2019,65265,3269615,2
08-03-2019,68500,3269615,2
08-03-2019,70401,3269615,1
09-03-2019,65245,3269615,3
09-03-2019,65261,3269615,1
09-03-2019,69100,3269615,1
10-03-2019,65261,3269615,1
10-03-2019,65265,3269615,1
10-03-2019,70401,3269615,1
11-03-2019,5156,3481968,2
11-03-2019,65261,3269615,2
12-03-2019,37163,3481968,2
12-03-2019,65245,3269615,1
12-03-2019,81490,3481968,2
13-03-2019,37163,3481968,2
13-03-2019,65265,3269615,2
14-03-2019,65245,3269615,3
14-03-2019,69100,3269615,1
15-03-2019,5156,3481968,1
15-03-2019,34122,3481968,1
15-03-2019,65245,3269615,2
15-03-2019,65265,3269615,2
15-03-2019,70401,3269615,1
15-03-2019,81490,3481968,1
16-03-2019,65261,3269615,1
16-03-2019,70360,3269615,2
17-03-2019,5156,3481968,1
17-03-2019,34122,3481968,2
17-03-2019,37163,3481968,1
17-03-2019,68500,3269615,2
18-03-2019,37163,3481968,1
18-03-2019,65245,3269615,1
18-03-2019,70360,3269615,1
18-03-2019,81490,3481968,1
19-03-2019,34122,3481968,2
19-03-2019,37163,3481968,1
19-03-2019,69100,3269615,2
20-03-2019,37163,3481968,1
20-03-2019,65265,3269615,2
21-03-2019,5156,3481968,1
21-03-2019,65261,3269615,1
22-03-2019,5156,3481968,1
22-03-2019,34122,3481968,1
22-03-2019,65245,3269615,1
22-03-2019,65265,3269615,2
22-03-2019,70401,3269615,1
23-03-2019,5156,3481968,1
23-03-2019,65261,3269615,1
23-03-2019,70360,3269615,1
23-03-2019,81490,3481968,1
24-03-2019,5156,3481968,1
