whid,skuid,date,qty
WH_1,35,28-10-2019,3
WH_1,35,27-10-2019,4
WH_1,35,26-10-2019,6
WH_1,35,25-10-2019,2
WH_1,35,24-10-2019,2
WH_1,35,23-10-2019,4
WH_1,35,20-10-2019,1
WH_1,35,19-10-2019,1
WH_1,35,18-10-2019,1
WH_1,35,16-10-2019,4
WH_1,35,15-10-2019,2
WH_1,35,14-10-2019,2
WH_1,35,13-10-2019,4
WH_1,35,12-10-2019,2
WH_1,35,11-10-2019,3
WH_1,35,10-10-2019,2
WH_1,35,09-10-2019,4
WH_1,35,06-10-2019,3
WH_1,35,05-10-2019,1
WH_1,35,03-10-2019,4
WH_1,35,30-09-2019,1
WH_1,35,28-09-2019,2
WH_1,35,27-09-2019,1
WH_1,35,26-09-2019,3
WH_1,35,25-09-2019,2
WH_1,35,24-09-2019,1
WH_1,35,23-09-2019,1
WH_1,35,21-09-2019,2
WH_1,35,19-09-2019,2
WH_1,35,18-09-2019,2
WH_1,35,17-09-2019,1
WH_1,35,16-09-2019,1
WH_1,35,15-09-2019,2
WH_1,35,14-09-2019,1
WH_1,35,13-09-2019,4
WH_1,35,12-09-2019,2
WH_1,35,09-09-2019,1
WH_1,35,08-09-2019,1
WH_1,35,07-09-2019,2
WH_1,35,06-09-2019,2
WH_1,35,05-09-2019,2
WH_1,35,04-09-2019,1
WH_1,35,01-09-2019,2
WH_1,35,31-08-2019,2
WH_1,35,30-08-2019,3
WH_1,35,29-08-2019,4
WH_1,35,28-08-2019,5
WH_1,35,25-08-2019,1
WH_1,35,23-08-2019,1
WH_1,35,22-08-2019,2
WH_1,35,21-08-2019,2
WH_1,35,18-08-2019,1
WH_1,35,17-08-2019,7
WH_1,35,15-08-2019,2
WH_1,35,14-08-2019,2
WH_1,35,13-08-2019,4
WH_1,35,12-08-2019,3
WH_1,35,11-08-2019,2
WH_1,35,10-08-2019,6
WH_1,35,09-08-2019,2
WH_1,35,08-08-2019,1
